name,start_date,end_date,location,hashtags
ethiopia-national-dialogue,2021-12-15,2022-01-07,,#ethiopiadialogue #ethiopia #nationaldialogue
ethiopia,2022-01-01,2022-01-09,,#tigray #oromia #gondar #amhar #ethiopia #nationaldialogue #TPLFattack #ethiopian #nomore #knowmore #afar

